Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
539.370522,299.711749984161,59782
539.358038,299.28261946980194,59849
539.345554,298.85346908964556,59945
539.33307,298.4242988423105,60086
539.320586,297.99510872641775,60128
539.308102,297.5658987405816,60038
539.295618,297.1366688834295,60104
539.283134,296.7074191535823,60041
539.27065,296.2781495496544,60165
539.258166,295.8488600702646,59933
539.245682,295.41955071403805,60017
539.233198,294.9902214795935,59923
539.220714,294.56087236554754,60049
539.20823,294.1315033705167,59999
539.195746,293.7021144931262,60088
539.183262,293.2727057319948,60048
539.170778,292.843277085739,60051
539.158294,292.41382855297326,60062
539.14581,291.98436013232276,60116
539.133326,291.5548718224062,60030
539.120842,291.12536362183806,60097
539.108358,290.6958355292327,60042
539.095874,290.2662875432197,59984
539.08339,289.836719662409,59963
539.070906,289.4071318854216,59972
539.058422,288.97752421086756,60006
539.045938,288.5478966373764,60065
539.033454,288.11824916355823,60035
539.02097,287.68858178803174,60081
539.008486,287.2588945094113,60014
538.996002,286.82918732632,60005
538.983518,286.39946023737,60044
538.971034,285.9697132411823,60029
538.95855,285.5399463363648,60093
538.946066,285.11015952154474,60118
538.933582,284.68035279533444,60085
538.921098,284.2505261563483,60040
538.908614,283.8206796032007,60045
538.89613,283.3908131345147,60041
538.883646,282.9609267489025,60086
538.871162,282.53102044497854,60057
538.858678,282.10109422135935,60054
538.846194,281.6711480766571,60058
538.83371,281.24118200949493,60025
538.821226,280.81119601848286,60067
538.808742,280.38119010223744,60030
538.796258,279.95116425936874,60032
538.783774,279.52111848849984,59944
538.77129,279.09105278824296,59914
538.758806,278.6609671572102,60031
538.746322,278.23086159401396,59993
538.733838,277.8007360972751,59944
538.721354,277.3705906656035,59956
538.70887,276.94042529761595,59985
538.696386,276.51023999192023,60045
538.683902,276.0800347471372,60109
538.671418,275.6498095618791,60025
538.658934,275.2195644347582,60063
538.64645,274.7892993643867,60031
538.633966,274.35901434938114,60010
538.621482,273.92870938835154,60042
538.608998,273.49838447991453,60028
538.596514,273.068039622678,59994
538.58403,272.63767481525844,60047
538.571546,272.20729005627027,60064
538.559062,271.77688534432133,60096
538.546578,271.34646067802396,59953
538.534094,270.91601605599675,60078
538.52161,270.4855514768477,60009
538.509126,270.055066939189,59995
538.496642,269.6245624416284,59977
538.484158,269.19403798278483,60042
538.471674,268.7634935612682,60002
538.45919,268.3329291756865,59918
538.446706,267.9023448246519,59976
538.434222,267.47174050677876,59995
538.421738,267.0411162206793,59985
538.409254,266.61047196495934,60013
538.39677,266.1798077382288,59980
538.384286,265.7491235391065,60016
538.371802,265.3184193661981,60007
538.359318,264.88769521811366,59927
538.346834,264.4569510934611,59992
538.33435,264.02618699085696,59995
538.321866,263.5954029089091,60002
538.309382,263.16459884622543,60002
538.296898,262.7337748014181,60045
538.284414,262.30293077309085,60084
538.27193,261.8720667598622,60000
538.259446,261.44118276033794,59993
538.246962,261.010278773126,59995
538.234478,260.57935479683204,59982
538.221994,260.1484108300748,59979
538.20951,259.7174468714578,60000
538.197026,259.286462919589,60050
538.184542,258.85545897307406,59966
538.172058,258.4244350305317,60022
538.159574,257.9933910905612,59978
538.14709,257.56232715177686,59918
538.134606,257.1312432127779,60017
538.122122,256.7001392721831,60020
538.109638,256.2690153285938,60048
538.097154,255.83787138062226,59993
538.08467,255.40670742686765,60010
538.072186,254.97552346594654,60000
538.059702,254.54431949646465,59996
538.047218,254.11309551702553,60000
538.034734,253.68185152623707,59948
538.02225,253.2505875227093,59999
538.009766,252.81930350504797,60020
537.997282,252.38799947186092,60042
537.984798,251.9566754217474,60024
537.972314,251.52533135332396,59906
537.95983,251.09396726519196,59901
537.947346,250.6625831559593,60106
537.934862,250.23117902422518,60007
537.922378,249.79975486860837,60072
537.909894,249.36831068770584,59994
537.89741,248.93684648012336,59967
537.884926,248.50536224446662,60072
537.872442,248.07385797934785,60010
537.859958,247.64233368336411,60031
537.847474,247.2107893551254,59997
537.83499,246.779224993231,60001
537.822506,246.34764059629526,60032
537.810022,245.91603616291522,59994
537.797538,245.48441169170093,59899
537.785054,245.0527671812473,59992
537.77257,244.62110263017084,60014
537.760086,244.1894180370708,60060
537.747602,243.75771340054854,59974
537.735118,243.3259887192141,60011
537.722634,242.89424399166023,59993
537.71015,242.4624792165056,60013
537.697666,242.0306943923451,60022
537.685182,241.59888951778234,59986
537.672698,241.1670645914186,59980
537.660214,240.7352196118662,60062
537.64773,240.30335457771992,60007
537.635246,239.87146948758772,59925
537.622762,239.43956434006657,59946
537.610278,239.00763913376443,60010
537.597794,238.57569386728264,59989
537.58531,238.14372853922472,59972
537.572826,237.7117431481856,60041
537.560342,237.27973769277966,60003
537.547858,236.84771217160173,60005
537.535374,236.41566658325323,60096
537.52289,235.98360092633555,59995
537.510406,235.55151519945653,60042
537.497922,235.11940940121323,59993
537.485438,234.68728353020705,59948
537.472954,234.255137585035,60022
537.46047,233.82297156430715,60043
537.447986,233.39078546662054,59964
537.435502,232.9585792905744,60033
537.423018,232.5263530347679,59972
537.410534,232.09410669780897,60083
537.39805,231.66184027829462,59949
537.385566,231.22955377482407,59945
537.373082,230.7972471859922,60061
537.360598,230.36492051041122,60062
537.348114,229.93257374667382,60012
537.33563,229.50020689338143,59949
537.323146,229.0678199491289,60034
537.310662,228.63541291252193,60045
537.298178,228.2029857821619,60008
537.285694,227.77053855664153,60073
537.27321,227.33807123456003,60122
537.260726,226.9055838145231,59990
537.248242,226.4730762951278,60021
537.235758,226.04054867496902,59983
537.223274,225.6080009526459,59957
537.21079,225.1754331267599,59924
537.198306,224.7428451959102,59970
537.185822,224.31023715869168,60003
537.173338,223.87760901370137,59947
537.160854,223.444960759545,59886
537.14837,223.01229239481307,59987
537.135886,222.579603918107,60065
537.123402,222.14689532802169,60038
537.110918,221.7141666231541,59985
537.098434,221.28141780210782,60104
537.08595,220.84864886347341,59983
537.073466,220.41585980585222,60034
537.060982,219.98305062783697,60078
537.048498,219.55022132802904,59959
537.036014,219.11737190502328,59964
537.02353,218.68450235741676,60045
537.011046,218.25161268380216,60027
536.998562,217.81870288278307,59962
536.986078,217.38577295294996,60016
536.973594,216.9528228929021,60024
536.96111,216.51985270123004,60013
536.948626,216.08686237653941,60018
536.936142,215.6538519174165,59987
536.923658,215.22082132246263,59956
536.911174,214.7877705902684,60099
536.89869,214.3546997194351,60039
536.886206,213.92160870855335,60059
536.873722,213.48849755622015,60002
536.861238,213.05536626102602,60062
536.848754,212.6222148215724,60057
536.83627,212.18904323645197,60054
536.823786,211.7558515042574,60070
536.811302,211.32263962358144,59958
