Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
539.370522,299.711749984161,59916
539.358038,299.28261946980194,59973
539.345554,298.85346908964556,60004
539.33307,298.4242988423105,60237
539.320586,297.99510872641775,60162
539.308102,297.5658987405816,60212
539.295618,297.1366688834295,60251
539.283134,296.7074191535823,60239
539.27065,296.2781495496544,60236
539.258166,295.8488600702646,60106
539.245682,295.41955071403805,60215
539.233198,294.9902214795935,60063
539.220714,294.56087236554754,60169
539.20823,294.1315033705167,60080
539.195746,293.7021144931262,60176
539.183262,293.2727057319948,60141
539.170778,292.843277085739,60135
539.158294,292.41382855297326,60283
539.14581,291.98436013232276,60115
539.133326,291.5548718224062,60103
539.120842,291.12536362183806,60145
539.108358,290.6958355292327,60183
539.095874,290.2662875432197,60117
539.08339,289.836719662409,60157
539.070906,289.4071318854216,60051
539.058422,288.97752421086756,60119
539.045938,288.5478966373764,60116
539.033454,288.11824916355823,60126
539.02097,287.68858178803174,60085
539.008486,287.2588945094113,60077
538.996002,286.82918732632,60104
538.983518,286.39946023737,60180
538.971034,285.9697132411823,60141
538.95855,285.5399463363648,60104
538.946066,285.11015952154474,60088
538.933582,284.68035279533444,60091
538.921098,284.2505261563483,60121
538.908614,283.8206796032007,60141
538.89613,283.3908131345147,60034
538.883646,282.9609267489025,60096
538.871162,282.53102044497854,60114
538.858678,282.10109422135935,60037
538.846194,281.6711480766571,60127
538.83371,281.24118200949493,60142
538.821226,280.81119601848286,60095
538.808742,280.38119010223744,60094
538.796258,279.95116425936874,60102
538.783774,279.52111848849984,60069
538.77129,279.09105278824296,60065
538.758806,278.6609671572102,60150
538.746322,278.23086159401396,60068
538.733838,277.8007360972751,60098
538.721354,277.3705906656035,60157
538.70887,276.94042529761595,60048
538.696386,276.51023999192023,60122
538.683902,276.0800347471372,60065
538.671418,275.6498095618791,60109
538.658934,275.2195644347582,60102
538.64645,274.7892993643867,60106
538.633966,274.35901434938114,60063
538.621482,273.92870938835154,60102
538.608998,273.49838447991453,60059
538.596514,273.068039622678,60039
538.58403,272.63767481525844,60102
538.571546,272.20729005627027,60126
538.559062,271.77688534432133,60106
538.546578,271.34646067802396,60021
538.534094,270.91601605599675,60079
538.52161,270.4855514768477,60031
538.509126,270.055066939189,60029
538.496642,269.6245624416284,60049
538.484158,269.19403798278483,60101
538.471674,268.7634935612682,60137
538.45919,268.3329291756865,60049
538.446706,267.9023448246519,60047
538.434222,267.47174050677876,60111
538.421738,267.0411162206793,60061
538.409254,266.61047196495934,60011
538.39677,266.1798077382288,60054
538.384286,265.7491235391065,59980
538.371802,265.3184193661981,60108
538.359318,264.88769521811366,60043
538.346834,264.4569510934611,59981
538.33435,264.02618699085696,59968
538.321866,263.5954029089091,59971
538.309382,263.16459884622543,60109
538.296898,262.7337748014181,59933
538.284414,262.30293077309085,60123
538.27193,261.8720667598622,60006
538.259446,261.44118276033794,60003
538.246962,261.010278773126,59944
538.234478,260.57935479683204,60018
538.221994,260.1484108300748,60039
538.20951,259.7174468714578,60063
538.197026,259.286462919589,60094
538.184542,258.85545897307406,60080
538.172058,258.4244350305317,60058
538.159574,257.9933910905612,60024
538.14709,257.56232715177686,60052
538.134606,257.1312432127779,59988
538.122122,256.7001392721831,60072
538.109638,256.2690153285938,60067
538.097154,255.83787138062226,60011
538.08467,255.40670742686765,60004
538.072186,254.97552346594654,59987
538.059702,254.54431949646465,60032
538.047218,254.11309551702553,59976
538.034734,253.68185152623707,60032
538.02225,253.2505875227093,60005
538.009766,252.81930350504797,59934
537.997282,252.38799947186092,59986
537.984798,251.9566754217474,60063
537.972314,251.52533135332396,60125
537.95983,251.09396726519196,60054
537.947346,250.6625831559593,60031
537.934862,250.23117902422518,59939
537.922378,249.79975486860837,60045
537.909894,249.36831068770584,60077
537.89741,248.93684648012336,59954
537.884926,248.50536224446662,60018
537.872442,248.07385797934785,60068
537.859958,247.64233368336411,59981
537.847474,247.2107893551254,60026
537.83499,246.779224993231,59949
537.822506,246.34764059629526,59968
537.810022,245.91603616291522,60038
537.797538,245.48441169170093,59951
537.785054,245.0527671812473,60026
537.77257,244.62110263017084,60039
537.760086,244.1894180370708,59989
537.747602,243.75771340054854,59936
537.735118,243.3259887192141,59964
537.722634,242.89424399166023,59965
537.71015,242.4624792165056,60037
537.697666,242.0306943923451,59998
537.685182,241.59888951778234,60004
537.672698,241.1670645914186,59978
537.660214,240.7352196118662,60046
537.64773,240.30335457771992,59999
537.635246,239.87146948758772,60034
537.622762,239.43956434006657,60061
537.610278,239.00763913376443,59924
537.597794,238.57569386728264,59953
537.58531,238.14372853922472,59916
537.572826,237.7117431481856,60002
537.560342,237.27973769277966,60036
537.547858,236.84771217160173,60040
537.535374,236.41566658325323,59995
537.52289,235.98360092633555,60036
537.510406,235.55151519945653,60031
537.497922,235.11940940121323,60029
537.485438,234.68728353020705,60055
537.472954,234.255137585035,59938
537.46047,233.82297156430715,60000
537.447986,233.39078546662054,60005
537.435502,232.9585792905744,60079
537.423018,232.5263530347679,60044
537.410534,232.09410669780897,60026
537.39805,231.66184027829462,60042
537.385566,231.22955377482407,60025
537.373082,230.7972471859922,59968
537.360598,230.36492051041122,60061
537.348114,229.93257374667382,60030
537.33563,229.50020689338143,60087
537.323146,229.0678199491289,60033
