Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59823
525.358038,-194.79536075947718,59770
525.345554,-195.24768859823178,59844
525.33307,-195.70003793519538,59957
525.320586,-196.15240877190544,60010
525.308102,-196.60480110989712,60072
525.295618,-197.0572149506927,60100
525.283134,-197.50965029583173,60141
525.27065,-197.96210714684943,60020
525.258166,-198.41458550527886,59971
525.245682,-198.86708537264877,60106
525.233198,-199.31960675049436,60023
525.220714,-199.77214964035304,60030
525.20823,-200.22471404376003,59997
525.195746,-200.6772999622419,60063
525.183262,-201.12990739733607,59970
525.170778,-201.58253635057773,59978
525.158294,-202.03518682350864,60062
525.14581,-202.48785881765102,60021
525.133326,-202.9405523345444,59984
525.120842,-203.39326737572623,59959
525.108358,-203.8460039427339,60025
525.095874,-204.29876203709608,60023
525.08339,-204.75154166035023,60012
525.070906,-205.20434281403158,59949
525.058422,-205.657165499684,60015
525.045938,-206.1100097188319,60066
525.033454,-206.5628754730148,60007
525.02097,-207.01576276377017,60111
525.008486,-207.4686715926397,60054
524.996002,-207.92160196115,59969
524.983518,-208.37455387084057,59968
524.971034,-208.82752732325102,59981
524.95855,-209.2805223199209,59972
524.946066,-209.73353886238107,59995
524.933582,-210.186576952169,60058
524.921098,-210.6396365908242,60057
524.908614,-211.09271777988843,60048
524.89613,-211.5458205208926,59905
524.883646,-211.99894481537407,60014
524.871162,-212.45209066487462,59981
524.858678,-212.90525807093158,59994
524.846194,-213.35844703508894,59994
524.83371,-213.81165755887318,60035
524.821226,-214.26488964382827,60082
524.808742,-214.7181432914937,60056
524.796258,-215.1714185034113,60082
524.783774,-215.62471528111405,59978
524.77129,-216.07803362614374,59991
524.758806,-216.53137354003772,59992
524.746322,-216.9847350243421,60052
524.733838,-217.43811808058777,59999
524.721354,-217.8915227103186,60031
524.70887,-218.3449489150742,60028
524.696386,-218.79839669639847,60027
524.683902,-219.2518660558223,59948
524.671418,-219.7053569948917,60015
524.658934,-220.15886951514634,59988
524.64645,-220.61240361813222,59996
524.633966,-221.06595930538026,59980
524.621482,-221.51953657843652,60013
524.608998,-221.9731354388406,59953
524.596514,-222.4267558881385,59976
524.58403,-222.88039792786336,59952
