Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59684
525.358038,-194.79536075947718,59851
525.345554,-195.24768859823178,59854
525.33307,-195.70003793519538,59999
525.320586,-196.15240877190544,60040
525.308102,-196.60480110989712,60076
525.295618,-197.0572149506927,60129
525.283134,-197.50965029583173,60062
525.27065,-197.96210714684943,59988
525.258166,-198.41458550527886,60009
525.245682,-198.86708537264877,60023
525.233198,-199.31960675049436,59942
525.220714,-199.77214964035304,60008
525.20823,-200.22471404376003,59974
525.195746,-200.6772999622419,59917
525.183262,-201.12990739733607,59990
525.170778,-201.58253635057773,59950
525.158294,-202.03518682350864,60106
525.14581,-202.48785881765102,60108
525.133326,-202.9405523345444,59996
525.120842,-203.39326737572623,59976
525.108358,-203.8460039427339,60075
525.095874,-204.29876203709608,60088
525.08339,-204.75154166035023,59953
525.070906,-205.20434281403158,60056
525.058422,-205.657165499684,60042
525.045938,-206.1100097188319,60029
525.033454,-206.5628754730148,59999
525.02097,-207.01576276377017,60033
525.008486,-207.4686715926397,60046
524.996002,-207.92160196115,59981
524.983518,-208.37455387084057,59921
524.971034,-208.82752732325102,59979
524.95855,-209.2805223199209,59969
524.946066,-209.73353886238107,60006
524.933582,-210.186576952169,60023
524.921098,-210.6396365908242,59962
524.908614,-211.09271777988843,60030
524.89613,-211.5458205208926,59922
524.883646,-211.99894481537407,60012
524.871162,-212.45209066487462,59996
524.858678,-212.90525807093158,60004
524.846194,-213.35844703508894,60042
524.83371,-213.81165755887318,60039
524.821226,-214.26488964382827,60007
524.808742,-214.7181432914937,60018
524.796258,-215.1714185034113,60037
524.783774,-215.62471528111405,59934
524.77129,-216.07803362614374,59963
524.758806,-216.53137354003772,59915
524.746322,-216.9847350243421,59939
524.733838,-217.43811808058777,59986
524.721354,-217.8915227103186,60061
524.70887,-218.3449489150742,60072
524.696386,-218.79839669639847,59942
524.683902,-219.2518660558223,60010
524.671418,-219.7053569948917,60041
524.658934,-220.15886951514634,60042
524.64645,-220.61240361813222,59985
524.633966,-221.06595930538026,60026
524.621482,-221.51953657843652,59919
524.608998,-221.9731354388406,60007
524.596514,-222.4267558881385,60043
524.58403,-222.88039792786336,60037
524.571546,-223.3340615595612,59996
524.559062,-223.78774678477382,59972
524.546578,-224.24145360504505,60035
524.534094,-224.69518202191014,59962
524.52161,-225.14893203691736,59970
524.509126,-225.6027036516041,60055
524.496642,-226.05649686752074,59948
524.484158,-226.51031168620037,59969
524.471674,-226.96414810918904,59954
524.45919,-227.41800613802852,60035
524.446706,-227.87188577426917,59932
524.434222,-228.3257870194441,59968
524.421738,-228.77970987510153,60013
524.409254,-229.23365434278105,60076
524.39677,-229.68762042403517,59968
524.384286,-230.14160812039702,59933
524.371802,-230.59561743341484,60072
524.359318,-231.04964836463031,60004
524.346834,-231.50370091559606,60006
524.33435,-231.9577750878451,60090
524.321866,-232.41187088292793,59954
524.309382,-232.86598830238617,60023
524.296898,-233.32012734776816,60032
524.284414,-233.7742880206199,59992
524.27193,-234.22847032247884,59972
524.259446,-234.68267425489535,59978
524.246962,-235.13689981941337,60015
524.234478,-235.59114701758327,60035
524.221994,-236.04541585094248,60049
524.20951,-236.49970632103924,60008
524.197026,-236.95401842942178,60011
524.184542,-237.40835217763833,60020
524.172058,-237.86270756722848,59986
524.159574,-238.31708459974044,59999
524.14709,-238.7714832767225,59939
524.134606,-239.22590359972503,60048
524.122122,-239.68034557028543,60057
524.109638,-240.13480918995845,60072
524.097154,-240.58929446028583,60096
524.08467,-241.04380138282232,59981
524.072186,-241.49832995910532,60026
524.059702,-241.9528801906874,59963
524.047218,-242.4074520791168,59939
524.034734,-242.86204562594392,59983
